text,intent,category
notification preferences not working,support_request,account_issue
account email is wrong need to fix,support_request,account_issue
cannot change my username at all,support_request,account_issue
my profile data has disappeared,support_request,account_issue
address in profile is very outdated,support_request,account_issue
cannot update my password from settings,support_request,account_issue
account shows wrong role assigned,support_request,account_issue
my saved addresses are all gone,support_request,account_issue
profile shows old information,support_request,account_issue
account security settings not working,support_request,account_issue
the website is not loading at all,bug_report,technical_bug
page shows blank white screen,bug_report,technical_bug
app is very slow and laggy,bug_report,technical_bug
getting 500 internal server error,bug_report,technical_bug
buttons are not clicking at all,bug_report,technical_bug
images not loading on any page,bug_report,technical_bug
website crashes on mobile browser,bug_report,technical_bug
error message appears randomly,bug_report,technical_bug
search function not working at all,bug_report,technical_bug
filter is not responding,bug_report,technical_bug
payment page keeps freezing,bug_report,technical_bug
cannot scroll on any page,bug_report,technical_bug
browser console shows many errors,bug_report,technical_bug
api call is failing with errors,bug_report,technical_bug
404 error on product page,bug_report,technical_bug
checkout button not responding,bug_report,technical_bug
cart is not updating properly,bug_report,technical_bug
page keeps refreshing by itself,bug_report,technical_bug
navbar is broken on mobile view,bug_report,technical_bug
dropdown menu not opening at all,bug_report,technical_bug
website not opening in browser,bug_report,technical_bug
page loads but shows nothing,bug_report,technical_bug
login page is showing errors,bug_report,technical_bug
wrong item was delivered to me,complaint,product_issue
product is completely damaged,complaint,product_issue
product does not match the description,complaint,product_issue
received a fake product,complaint,product_issue
product quality is very poor,complaint,product_issue
item is broken on arrival,complaint,product_issue
seller sent me wrong item,complaint,product_issue
product not as shown in pictures,complaint,product_issue
defective product was delivered,complaint,product_issue
product size is wrong altogether,complaint,product_issue
color of product is different,complaint,product_issue
missing accessories in package,complaint,product_issue
counterfeit product was received,complaint,product_issue
product stopped working next day,complaint,product_issue
packaging was very damaged,complaint,product_issue
i want to report a fraud,complaint,product_issue
seller cheated me badly,complaint,product_issue
product was advertised incorrectly,complaint,product_issue
item looks used not brand new,complaint,product_issue
product has manufacturing defect,complaint,product_issue
i received empty box,complaint,product_issue
item was missing from package,complaint,product_issue
i have a general question,general_question,general_query
what are the fees for selling here,general_question,general_query
how to contact customer support,general_question,general_query
what is the return policy,general_question,general_query
how long does delivery take,general_question,general_query
is there a mobile app available,general_question,general_query
how do i earn more as a seller,general_question,general_query
what payment methods are accepted,general_question,general_query
how does this platform make money,general_question,general_query
is this platform safe to use,general_question,general_query
how do i contact the seller,general_question,general_query
can i have multiple accounts,general_question,general_query
what is the commission percentage,general_question,general_query
how do i get verified as seller,general_question,general_query
what is streamsales platform,general_question,general_query
is streamsales free to use,general_question,general_query
how to use streamsales,general_question,general_query
what can i do on streamsales,general_question,general_query
my login is broken cant get in,support_request,login_issue
order still not here after weeks,support_request,order_issue
seller dashboard keeps crashing,support_request,seller_issue
need to update account email urgently,support_request,account_issue
site completely broken on iphone,bug_report,technical_bug
password wont reset at all,support_request,login_issue
package delivered to wrong address,support_request,order_issue
cant upload product photos at all,support_request,seller_issue
profile wont save any changes,support_request,account_issue
checkout page wont load properly,bug_report,technical_bug
forgot password link has expired,support_request,login_issue
live stream quality very poor always,support_request,seller_issue
account got disabled suddenly,support_request,account_issue
error 404 on every product page,bug_report,technical_bug
payment failed but money got deducted,complaint,product_issue
product arrived completely broken,complaint,product_issue
seller not responding to messages,complaint,product_issue
wrong color product was sent,complaint,product_issue
ordered large size got small,complaint,product_issue
app freezes when adding to cart,bug_report,technical_bug
screen goes black during live stream,bug_report,technical_bug
chat feature not loading in stream,bug_report,technical_bug
order history page not loading,bug_report,technical_bug
my profile page returns 500 error,bug_report,technical_bug
how to use the platform,general_question,general_query
explain how ordering works,general_question,general_query
what happens after i place an order,general_question,general_query
how to get a refund,general_question,general_query
how to return a product,general_question,general_query
